Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
215,0,7,0,5,5,5,2,292.25,61,1818143,0,2.4,2,271.9,17.95,7,350,0
216,0,7,0,7,4,3,4,327.15,60,889455,3,291.65,176.9,25,74,7,360,6
217,0,5,7,7,6,6,2,349.1089,48,1396938,2,30.1089,14.8,53,46,7,350,4
218,0,7,0,0,7,7,3,114.025,121,0,2,89.525,89.525,7,66,7,150,4
219,0,3,5,4,1,3,2,67.5703,21,927060,1,51.7503,28.545,12.32,37,4,110,3
220,0,7,0,6,7,7,2,219.7841,76,9224328,1,65.7841,27.1,140,29,7,220,2
221,0,0,0,7,0,0,0,0,0,1790087,0,0,0,0,0,2,0,0
222,0,1,1,7,2,4,1,171.71,1,2261469,0,6.35,0.125,157,8.36,6,200,0
223,0,1,0,7,5,1,1,156.736,1,6119185,0,16.736,1.625,140,0,1,150,0
224,0,4,0,1,4,4,2,68.775,22,1015004,1,18.275,15.875,47,37,7,100,3
225,0,2,0,7,4,7,3,114.3763,4,11969670,3,12.8763,9.3,91,55.5,7,135,6
226,0,4,1,2,0,2,1,83.9875,7,106634,1,50.4875,33.875,30,18.5,6,100,1
227,0,4,0,5,7,7,2,78.9255,26,2019970,2,16.4255,8.525,45,47.5,5,90,4
228,0,7,7,7,3,2,2,200.395,300,134893,2,73.275,71.375,120.12,37,7,200,2
229,0,6,2,1,0,6,1,72.225,39,1,0,72.225,67.275,0,0,7,60,0
230,0,7,0,4,7,7,1,142.17,212,66,0,35.9,30.9,91,10.5,7,50,0
231,0,7,0,0,0,0,0,0,67,0,0,0,0,0,0,6,0,3
232,0,5,0,3,6,6,1,136.4859,15,24040,2,74.0159,50.15,42,31.97,5,100,2
235,0,7,4,7,7,7,2,224.8053,112,694038,1,115.8053,18.8,95,29,7,210,2
236,0,5,1,5,1,4,3,213.2975,8,73288,2,53.2975,18.6,54,37,6,219,2
237,0,7,4,6,0,0,0,0,25,609467,0,0,0,0,0,5,0,3
238,0,6,0,2,1,1,1,221.2142,20,469033,0,26.2142,20.75,195,0,7,200,0
239,0,3,0,7,7,7,3,156.9,4,1609806,0,41.4,26.9,105,10.5,7,150,0
240,0,5,0,7,0,3,2,48.065,20,1968560,1,21.325,21.325,23.24,37,6,100,4
241,0,1,0,5,4,4,1,63.9652,9,2482,1,53.4652,39.525,1,24.5,6,200,4
242,0,6,1,7,7,5,2,67.325,79,45,1,38.725,17.075,25.1,18.5,7,60,1
243,0,7,0,7,0,2,3,638.5,100,2000570,0,168.5,168.5,120,0,7,750,0
244,0,2,0,7,3,4,2,194.6381,13,5397588,1,43.6381,36.825,3,41.5,5,270,5
